time,strategy,previous_ticker,previous_result,buy_ticker,buy_side,stake_usd,price_usd,contracts,order_id,outcome,payout_usd,profit_usd
2026-02-17T22:24:15.583630+00:00,MOMENTUM_15,KXBTC15M-26FEB171715-15,BTC15 +0.006%,KXBTC15M-26FEB171730-30,yes,4.97,0.71,7,29371178-3909-4d89-b7eb-2ea8329ab78c,WIN,7.0,2.03
2026-02-17T22:30:32.784114+00:00,MOMENTUM_15,KXBTC15M-26FEB171730-30,BTC15 +0.224%,KXBTC15M-26FEB171745-45,yes,4.96,0.62,8,36e63366-c95c-45ec-9358-bb44f114675e,LOSS,0,-4.96
2026-02-17T22:45:20.232710+00:00,MOMENTUM_15,KXBTC15M-26FEB171745-45,BTC15 -0.020%,KXBTC15M-26FEB171800-00,no,4.72,0.59,8,f7862cfc-b102-4cb7-afac-e66d13826743,WIN,8.0,3.28
2026-02-17T23:00:31.031299+00:00,MOMENTUM_15,KXBTC15M-26FEB171800-00,BTC15 -0.202%,KXBTC15M-26FEB171815-15,no,4.56,0.57,8,d55296f8-a977-4742-970a-f5035b2572d4,WIN,8.0,3.44
2026-02-17T23:15:19.561048+00:00,MOMENTUM_15,KXBTC15M-26FEB171815-15,BTC15 -0.151%,KXBTC15M-26FEB171830-30,no,4.9,0.49,10,0640ba31-e82e-481b-9ad9-3d33b166cecd,LOSS,0,-4.9
2026-02-17T23:30:38.767228+00:00,MOMENTUM_15,KXBTC15M-26FEB171830-30,BTC15 -0.046%,KXBTC15M-26FEB171845-45,no,4.48,0.64,7,3c1ea6e2-57ac-4a4c-a004-770d07814826,LOSS,0,-4.48
2026-02-17T23:45:16.220818+00:00,MOMENTUM_15,KXBTC15M-26FEB171845-45,BTC15 -0.062%,KXBTC15M-26FEB171900-00,no,4.95,0.45,11,cfa6060a-a17a-4e75-992a-256874883641,WIN,11.0,6.05
2026-02-18T00:00:35.412924+00:00,MOMENTUM_15,KXBTC15M-26FEB171900-00,BTC15 -0.078%,KXBTC15M-26FEB171915-15,no,4.6,0.46,10,3643c485-ff46-43f8-8c9f-b0c6d4e2a0c2,LOSS,0,-4.6
2026-02-18T00:15:08.253843+00:00,MOMENTUM_15,KXBTC15M-26FEB171915-15,BTC15 +0.204%,KXBTC15M-26FEB171930-30,yes,5.0,0.5,10,5dbf39fd-9517-4e5e-83cb-72493cab2066,LOSS,0,-5.0
2026-02-18T00:30:27.464599+00:00,MOMENTUM_15,KXBTC15M-26FEB171930-30,BTC15 -0.165%,KXBTC15M-26FEB171945-45,no,4.6,0.46,10,871adddf-4b6c-4fa2-b9f9-d2677a384a83,WIN,10.0,5.4
2026-02-18T00:45:33.746103+00:00,MOMENTUM_15,KXBTC15M-26FEB171945-45,BTC15 -0.118%,KXBTC15M-26FEB172000-00,no,4.55,0.65,7,f637d88e-daad-4fd9-8ce2-d8a85a62d892,WIN,7.0,2.45
2026-02-18T01:00:36.708124+00:00,MOMENTUM_15,KXBTC15M-26FEB172000-00,BTC15 -0.147%,KXBTC15M-26FEB172015-15,no,4.7,0.47,10,de857945-dfc4-4524-98a4-ab22ae0236cf,WIN,10.0,5.3
2026-02-18T01:15:17.449921+00:00,MOMENTUM_15,KXBTC15M-26FEB172015-15,BTC15 -0.266%,KXBTC15M-26FEB172030-30,no,5.0,0.5,10,3725c091-283f-4a60-91c2-321bad38a5b1,,,
